"","model","wt","upp","low","week","alpha","step","rep"
"369","arima",0.9882255959,0.997862,0.968163925,11,1,1,2
"370","asg",0.00268547551401126,0.009902869,6.71718375e-05,11,1,1,2
"371","naive",0.00693502861943725,0.02562331,0.000179284025,11,1,1,2
"372","sir",0.00215390099006234,0.007994991,5.500162e-05,11,1,1,2
"373","arima",0.44799406604,0.535952275,0.358088875,11,50,1,2
"374","asg",0.132457675052,0.1713031,0.098301055,11,50,1,2
"375","naive",0.29401077202,0.3728205,0.22174285,11,50,1,2
"376","sir",0.125537486736,0.16531605,0.09148947,11,50,1,2
"377","arima",0.9891468678,0.998094025,0.970702975,12,1,1,2
"378","asg",0.00249373857405657,0.00922462875,6.202825e-05,12,1,1,2
"379","naive",0.00648782215991093,0.023931625,0.000166445475,12,1,1,2
"380","sir",0.00187157236847824,0.00695312875000001,4.53453525e-05,12,1,1,2
"381","arima",0.47772147614,0.56418505,0.388161825,12,50,1,2
"382","asg",0.126514218378,0.1644011,0.09337991,12,50,1,2
"383","naive",0.28720843764,0.366192575,0.215869175,12,50,1,2
"384","sir",0.108555869566,0.1425893,0.0791527275,12,50,1,2
"385","arima",0.98964990962,0.998185025,0.9714039,13,1,1,2
"386","asg",0.00234347159526322,0.0085636705,5.4942085e-05,13,1,1,2
"387","naive",0.00639584732981317,0.0238604075,0.00015670095,13,1,1,2
"388","sir",0.0016107710508844,0.00596378275,4.059049e-05,13,1,1,2
"389","arima",0.49430033536,0.5799551,0.404490975,13,50,1,2
"390","asg",0.121731698718,0.157925525,0.08976235,13,50,1,2
"391","naive",0.29047653306,0.369911925,0.21709755,13,50,1,2
"392","sir",0.093491433212,0.123131125,0.06835646,13,50,1,2
"393","arima",0.99023818552,0.998333025,0.972532925,14,1,1,2
"394","asg",0.00221586075227381,0.00817680450000001,5.69443525e-05,14,1,1,2
"395","naive",0.0061709136070202,0.023228175,0.000148577225,14,1,1,2
"396","sir",0.00137504011612941,0.00508828625,3.7197325e-05,14,1,1,2
"397","arima",0.51293443104,0.599018725,0.420717675,14,50,1,2
"398","asg",0.116681616354,0.1521601,0.086091585,14,50,1,2
"399","naive",0.2898147378,0.37241905,0.2158709,14,50,1,2
"400","sir",0.08056921592,0.1060352,0.05898038,14,50,1,2
"401","arima",0.99028232078,0.998407075,0.972364,15,1,1,2
"402","asg",0.00217320558460511,0.008117406,5.3555385e-05,15,1,1,2
